SMILES,Ingre_ID,Canonical_SMILES
COc1c2OCC(C(=O)c2c(c(c1O)C)O)Cc1ccc(cc1)O,10142,COc1c2OCC(C(=O)c2c(c(c1O)C)O)Cc1ccc(cc1)O
Oc1ccc(cc1)CC1COc2c(C1=O)c(O)c(c(c2C)O)C,10143,Oc1ccc(cc1)CC1COc2c(C1=O)c(O)c(c(c2C)O)C
OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4(O)CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OCC(C(C1O)O)O)O)O)O,10144,OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4(O)CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OCC(C(C1O)O)O)O)O)O
CC1CCC2(OC1)OC1C(C2C)C2(C(C1)(O)C1CC=C3C(C1CC2)(C)CCC(C3)O)C,10145,CC1CCC2(OC1)OC1C(C2C)C2(C(C1)(O)C1CC=C3C(C1CC2)(C)CCC(C3)O)C
OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OCC(C(C1O)O)O)O)O)O,10146,OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OCC(C(C1O)O)O)O)O)O
OCC1OC(OC2CC3C(C2C(C(CCC(C)C)O)C)(C)CCC2C3CC=C3C2(C)C(CC(C3)O)OC2OC(C)C(C(C2O)O)O)C(C(C1O)O)O,10147,OCC1OC(OC2CC3C(C2C(C(CCC(C)C)O)C)(C)CCC2C3CC=C3C2(C)C(CC(C3)O)OC2OC(C)C(C(C2O)O)O)C(C(C1O)O)O
CC(CCC(C(C1C(O)CC2C1(C)CCC1C2CC=C2C1(C)C(O)CC(C2)O)C)O)C,10148,CC(CCC(C(C1C(O)CC2C1(C)CCC1C2CC=C2C1(C)C(O)CC(C2)O)C)O)C
OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(C)C(O4)(O)CCC(COC3OC(CO)C(C(C3O)O)O)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O)O)O)O,10149,OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(C)C(O4)(O)CCC(COC3OC(CO)C(C(C3O)O)O)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O)O)O)O
OCC(CCC1(O)OC2C(C1C)C1(C(C2)C2CC=C3C(C2CC1)(C)CCC(C3)O)C)C,10150,OCC(CCC1(O)OC2C(C1C)C1(C(C2)C2CC=C3C(C2CC1)(C)CCC(C3)O)C)C
OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4(O)CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O)O)O,10151,OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4(O)CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O)O)O
